Sub_Theme_ID,Sub_Theme_Name,Metric_ID,Metric_Name,G1_Impact_Mitigation,G1_Rationale,G2_Detection_Velocity,G2_Rationale,G3_Compliance_Audit,G3_Rationale,G4_Security_Awareness,G4_Rationale,G5_Operational_Efficiency,G5_Rationale,G6_Asset_Protection,G6_Rationale,G7_Collaboration_Intel,G7_Rationale,G8_Proactive_Defense,G8_Rationale
M-THM-03,Incident Handling & Escalation,CAN-MET-004,Mean Time to Respond / Resolve (MTTR),Neutral,Fast resolution limits blast radius and constrains ongoing threat impact though strict timers risk premature closure that leaves root causes unresolved.,Misaligned,Strict MTTR targets pressure analysts to close incidents prematurely which forces resolution before full threat scope is understood degrading detection quality.,Aligned,MTTR is a primary SLA metric embedded in most compliance frameworks and directly supports audit evidence for incident resolution timeliness.,Neutral,MTTR measures speed of resolution not the analytical depth or reasoning quality that reflects genuine security awareness.,Aligned,Reducing MTTR improves incident queue throughput and reduces resource time-on-incident contributing directly to operational efficiency.,Aligned,Faster resolution reduces the window during which organizational assets remain exposed to active or persisting threats.,Neutral,MTTR is an internal resolution speed metric and does not directly measure collaborative engagement or intelligence sharing with external entities.,Neutral,MTTR optimization focuses on reactive resolution speed and does not advance anticipatory or proactive threat detection capabilities.
M-THM-03,Incident Handling & Escalation,CAN-MET-007,Escalation Rate / Accuracy,Neutral,Accurate escalation ensures appropriate resources are deployed to high-impact incidents which supports timely impact mitigation.,Neutral,Escalation rate measures inter-tier communication volume but does not directly indicate the quality or speed of threat detection.,Aligned,Escalation accuracy supports audit trails by ensuring incidents are routed to appropriate expertise and documented through proper channels.,Misaligned,High escalation rates signal that Tier 1 analysts lack the training and skill to resolve incidents independently indicating security awareness gaps.,Neutral,Escalation accuracy supports operational process integrity but high escalation rates also indicate bottlenecks that reduce overall efficiency.,Neutral,Escalation routing affects which expertise is applied to asset protection but escalation rate itself does not directly measure protection outcomes.,Neutral,Escalation rate reflects Tier 1 to Tier 2/3 communication and shows cross-tier collaboration activity though it does not measure collaboration quality.,Neutral,Escalation rate measures reactive inter-tier communication and does not indicate proactive threat anticipation or intelligence-driven defense activity.
M-THM-03,Incident Handling & Escalation,CAN-MET-008,Alert Volume / Workload,Neutral,Alert volume in incident handling reflects workload but does not directly determine the quality of containment or impact mitigation actions.,Misaligned,High alert volume during incident handling dilutes analyst attention and does not indicate quality detection or effective incident resolution.,Neutral,Alert volume provides context for compliance reporting on incident handling capacity but is not a primary compliance indicator.,Misaligned,Elevated alert volume during incident handling masks individual analyst capability and creates an environment where skill gaps are obscured.,Neutral,Alert volume awareness supports shift scheduling and resource allocation improving operational efficiency planning in incident handling.,Neutral,Alert volume in the handling phase does not directly correlate with the protection of specific assets without quality outcome data.,Neutral,Alert volume can inform escalation decisions and shift handover briefings but does not constitute meaningful intelligence collaboration.,Neutral,High alert volume during incident handling is reactive in nature and does not advance proactive defense intelligence or threat anticipation.
M-THM-03,Incident Handling & Escalation,CAN-MET-009,Analyst Productivity / Incidents per Shift,Misaligned,Productivity incentives during incident handling encourage rapid closure which may result in inadequate containment and unmitigated residual impact.,Misaligned,Incidents-per-shift metrics during handling incentivize quick close-out behavior over thorough investigation degrading detection and response quality.,Neutral,Analyst productivity data provides workforce context for compliance reviews but does not satisfy incident handling compliance requirements.,Neutral,Throughput counts during incident handling measure volume not the quality or depth of analyst decisions reflecting weak security awareness signal.,Neutral,Productivity metrics provide useful throughput visibility for incident handling operations and support shift efficiency benchmarking.,Neutral,Volume of incidents handled does not directly reflect the quality of protective actions taken to safeguard specific assets.,Neutral,Productivity per shift is an internal operational measure and does not facilitate cross-tier or external intelligence collaboration.,Neutral,Productivity throughput does not reflect the investigative depth or proactive threat anticipation associated with proactive defense.
M-THM-03,Incident Handling & Escalation,CAN-MET-010,Mean Time to Escalation (MTTE),Neutral,Timely escalation of high-severity incidents ensures appropriate resources are engaged to limit impact though MTTE itself is a process timing metric.,Neutral,MTTE measures how quickly incidents are escalated but speed of escalation does not independently indicate the quality or accuracy of threat detection.,Aligned,MTTE is a measurable SLA indicator in incident handling workflows and supports compliance evidence for escalation process adherence.,Misaligned,Fast escalation speed reflects process compliance but does not indicate analyst analytical capability or security awareness during incident evaluation.,Neutral,Low MTTE reduces delays in engaging senior resources and supports overall incident handling workflow efficiency.,Neutral,MTTE facilitates routing of incidents to appropriate expertise which indirectly supports asset protection through faster expert engagement.,Aligned,MTTE directly measures cross-tier engagement speed and facilitates structured collaboration between Tier 1 and Tier 2/3 analysts.,Neutral,MTTE is a reactive escalation speed metric and does not advance anticipatory threat detection or proactive intelligence-driven defense.
M-THM-03,Incident Handling & Escalation,CAN-MET-011,Analyst Burnout / Health,Neutral,Burnout in incident handling roles can lead to oversight errors during containment but does not directly control impact mitigation outcomes.,Neutral,Burnout degrades sustained analytical performance during incident handling over time but is an indirect detection velocity influence.,Neutral,Analyst burnout is not a formal compliance indicator though workforce health relates to governance and sustainable operational capacity.,Aligned,Burnout monitoring in incident handling directly measures human capital health and signals erosion of the security awareness and judgment required for complex incidents.,Aligned,Managing burnout in incident handling sustains team capacity and prevents attrition that would degrade operational efficiency.,Neutral,Burnout does not directly measure the quality of asset protection actions though degraded analyst performance increases asset risk exposure.,Neutral,Burnout monitoring is internally focused and does not contribute directly to cross-tier or external intelligence collaboration.,Neutral,Burnout management supports workforce resilience in incident handling but does not generate proactive threat intelligence or anticipatory defense capability.
M-THM-04,Documentation & Reporting,CAN-MET-008,Alert Volume / Workload,Neutral,Alert volume in the documentation context reflects reporting burden but does not directly drive impact mitigation through documentation actions.,Misaligned,High alert volume in documentation workflows does not improve detection velocity and diverts analyst time from active monitoring into reactive reporting backlogs.,Aligned,Alert volume directly informs the scope and completeness of incident documentation required for compliance audits and reporting obligations.,Misaligned,Heavy alert volume in documentation workflows creates time pressure that degrades report quality masking analyst skill development and awareness gaps.,Neutral,Managing documentation workload relative to alert volume is relevant to operational efficiency but volume alone does not drive documentation quality.,Neutral,Alert volume in documentation does not directly protect assets though complete incident records support post-incident asset recovery decisions.,Neutral,Documentation driven by alert volume creates audit trails that can be shared across teams though it does not constitute active intelligence collaboration.,Neutral,Alert volume in reporting is a reactive measure and does not contribute to proactive threat intelligence or anticipatory defense activities.
M-THM-04,Documentation & Reporting,CAN-MET-009,Analyst Productivity / Incidents per Shift,Misaligned,Productivity pressure during documentation encourages cursory or incomplete reports which reduces the quality of information available for impact mitigation.,Misaligned,Throughput incentives during documentation reduce time spent on thorough report writing limiting the detection learning value of completed incident records.,Neutral,Analyst productivity in documentation workflows provides workforce planning context for audits but does not satisfy documentation compliance requirements.,Neutral,High documentation throughput does not indicate report quality or depth of analyst reasoning and therefore provides weak security awareness signal.,Neutral,Analyst productivity metrics provide throughput visibility in documentation workflows supporting shift planning and operational efficiency monitoring.,Neutral,Documentation throughput volume does not directly reflect the quality of asset protection insights captured in incident reports.,Neutral,Rapid documentation throughput does not enhance the intelligence value of reports available for cross-team sharing or collaboration.,Neutral,Documentation throughput metrics do not advance proactive defense; only the quality of reports can support future threat anticipation.
M-THM-04,Documentation & Reporting,CAN-MET-011,Analyst Burnout / Health,Neutral,Burnout during documentation phases can lead to incomplete records but does not directly determine impact mitigation outcomes.,Neutral,Burnout degrading documentation quality indirectly reduces the institutional knowledge available to improve future detection processes.,Aligned,Analyst burnout in documentation roles is relevant to compliance since fatigue-driven errors can compromise the accuracy and completeness of audit records.,Aligned,Burnout monitoring in documentation-heavy roles directly measures the human capital health required to sustain quality security awareness and reporting standards.,Aligned,Reducing burnout in documentation workflows sustains report quality and prevents efficiency losses caused by fatigue-induced rework and attrition.,Neutral,Burnout in documentation roles does not directly affect asset protection capability though poor documentation can delay post-incident asset recovery.,Neutral,Burnout monitoring is internally focused and does not directly support intelligence sharing or collaborative documentation across SOC tiers.,Neutral,Burnout management supports documentation sustainability but does not generate proactive threat intelligence or advance anticipatory defense capabilities.
M-THM-04,Documentation & Reporting,CAN-MET-012,Quality of Incident Report (QIR),Neutral,High-quality incident reports inform post-incident reviews and lessons-learned processes that improve future impact mitigation strategies.,Neutral,QIR measures report quality after incidents are closed and does not directly measure speed or accuracy of real-time detection.,Aligned,QIR is a primary compliance and audit metric that directly measures whether incident documentation meets regulatory and organizational standards.,Aligned,High-quality incident reports reflect analyst investigative depth and reasoning quality and are a strong indicator of security awareness and capability.,Neutral,QIR supports process quality assurance in documentation workflows but high-quality reporting requires time investment that may reduce throughput.,Neutral,QIR does not directly protect assets but high-quality reports support post-incident asset recovery and inform future protective controls.,Neutral,Detailed incident reports serve as internal knowledge artifacts that can inform cross-tier learning though they are not external intelligence sharing vehicles.,Neutral,QIR reflects retrospective documentation quality and does not directly advance anticipatory threat detection or proactive defense activities.
M-THM-05,Vulnerability & Specialized Analysis,CAN-MET-006,Quality of Analysis (QoA),Neutral,High analytical quality during vulnerability review improves the accuracy of risk prioritization which supports targeted impact mitigation decisions.,Neutral,QoA measures investigative depth and analytical rigor which supports informed detection but operates after the detection event rather than accelerating it.,Neutral,QoA supports the quality of compliance-relevant analysis outputs but is not a primary compliance indicator in most regulatory frameworks.,Aligned,High QoA in vulnerability and specialized analysis directly reflects analyst competency and depth of security awareness across the threat landscape.,Neutral,QoA requires investment of analyst time and may reduce throughput though it improves the value of analysis outputs for operational decision-making.,Aligned,High-quality vulnerability analysis directly supports prioritized asset protection decisions by accurately identifying and scoring exploitable exposures.,Neutral,QoA measures individual analytical output quality and does not directly measure collaborative or cross-organizational intelligence sharing activities.,Aligned,High analytical quality in vulnerability review enables accurate threat modeling and supports the development of proactive defense strategies.
M-THM-05,Vulnerability & Specialized Analysis,CAN-MET-008,Alert Volume / Workload,Neutral,Alert volume in vulnerability analysis contexts reflects workload pressure but does not directly drive the quality of vulnerability-related impact mitigation.,Misaligned,High alert volume in specialized analysis workflows reduces the time analysts can devote to deep vulnerability research degrading detection quality.,Neutral,Alert volume provides operational context for compliance reporting on analysis capacity but is not a primary indicator of vulnerability compliance.,Misaligned,Elevated alert volume in specialized analysis masks analyst skill depth by forcing superficial processing of vulnerabilities rather than substantive security awareness.,Neutral,Alert volume monitoring in specialized analysis supports workload management but volume alone does not indicate analysis efficiency.,Neutral,Alert volume in vulnerability analysis does not directly indicate the quality of asset protection decisions made from that analysis.,Neutral,Alert volume is an internal workload measure that does not facilitate cross-team intelligence sharing or collaborative vulnerability research.,Neutral,High alert volume in specialized analysis is reactive in nature and diverts analyst capacity from the proactive threat research needed for proactive defense.
M-THM-05,Vulnerability & Specialized Analysis,CAN-MET-009,Analyst Productivity / Incidents per Shift,Misaligned,Productivity throughput incentives in specialized analysis discourage deep vulnerability investigation increasing the risk of unmitigated exploitable gaps.,Misaligned,Incidents-per-shift metrics applied to vulnerability analysis incentivize shallow reviews over thorough investigation harming the depth of detection insight.,Neutral,Analyst productivity data provides workforce planning context for compliance reviews but does not satisfy vulnerability analysis compliance requirements.,Neutral,Productivity counts in specialized analysis measure throughput not analytical depth or quality reflecting a weak signal for security awareness.,Neutral,Analyst productivity provides throughput visibility for vulnerability analysis workflows supporting operational efficiency benchmarking and resource planning.,Neutral,Volume of vulnerability reviews completed does not reflect the quality of asset protection decisions derived from that analysis.,Neutral,Productivity per shift in specialized analysis is internally focused and does not contribute to cross-team or external intelligence collaboration.,Neutral,Throughput metrics in vulnerability analysis do not reflect the depth of proactive threat research or the quality of anticipatory defense outputs.
M-THM-05,Vulnerability & Specialized Analysis,CAN-MET-011,Analyst Burnout / Health,Neutral,Burnout in specialized analysis can lead to missed vulnerability findings but does not directly control impact mitigation outcomes.,Neutral,Sustained burnout in vulnerability analysis roles degrades the analytical depth required for accurate detection insight though the impact is indirect.,Neutral,Analyst burnout is not a formal compliance requirement in vulnerability analysis though workforce health supports sustainable governance.,Aligned,Burnout monitoring in specialized analysis roles directly measures human capital health and signals erosion of the deep security awareness required for high-quality vulnerability assessment.,Aligned,Managing burnout in specialized analysis sustains the deep analytical capacity required and prevents efficiency losses from attrition and cognitive fatigue.,Neutral,Burnout in specialized analysis does not directly measure asset protection quality though degraded performance increases the risk of undetected vulnerabilities.,Neutral,Burnout monitoring is internally focused and does not directly facilitate cross-team threat intelligence sharing or collaborative vulnerability research.,Neutral,Burnout management supports analyst resilience in specialized analysis but does not generate proactive threat intelligence or advance anticipatory defense capabilities.
